Seq,Phase,Phase Name,ID,Module,Feature,Target Requirement,Scope Source,Priority,Status,Completion %,Depends On,Current Implementation,Next Action / Missing Work,Key Files,Evidence,Owner,Target Date,Started On,Completed On,Last Updated,Notes
39,0,Delivered baseline (maintain),DB-02,Dashboard,Global Markets panel,Dashboard section,Agreed-Spec,P1,COMPLETED,75,,Rendered; snapshot bug fixed,Maintain,dashboard/server.py,db7f506,,,,,2026-09-24,
40,0,Delivered baseline (maintain),DB-03,Dashboard,FII/DII panel,Dashboard section,Agreed-Spec,P1,COMPLETED,75,,Rendered,Maintain,dashboard/server.py,—,,,,,2026-09-24,
41,0,Delivered baseline (maintain),DB-05,Dashboard,Sector Rotation,Dashboard section,Agreed-Spec,P1,COMPLETED,70,,Heatmap rendered,Maintain,dashboard/server.py,server.py:489,,,,,2026-09-24,
42,0,Delivered baseline (maintain),DB-07,Dashboard,Top 25 VPI,Dashboard section,Agreed-Spec,P0,COMPLETED,85,,Rendered,Maintain,dashboard/server.py,/api/scores,,,,,2026-09-24,
43,0,Delivered baseline (maintain),DB-08,Dashboard,Buy Zone (ZPI),Dashboard section,Agreed-Spec,P0,COMPLETED,85,,Rendered,Maintain,dashboard/server.py,—,,,,,2026-09-24,
44,0,Delivered baseline (maintain),DB-09,Dashboard,Recovery (RRI),Dashboard section,Agreed-Spec,P1,COMPLETED,80,,Rendered,Maintain,dashboard/server.py,—,,,,,2026-09-24,
45,0,Delivered baseline (maintain),DB-10,Dashboard,Momentum Reversal (MRI),Dashboard section,Agreed-Spec,P1,COMPLETED,80,,Rendered,Maintain,dashboard/server.py,—,,,,,2026-09-24,
46,0,Delivered baseline (maintain),DB-12,Dashboard,Portfolio Health panel,Dashboard section,Agreed-Spec,P0,COMPLETED,80,,Rendered,Maintain,dashboard/server.py,/api/portfolio,,,,,2026-09-24,
47,0,Delivered baseline (maintain),DB-13,Dashboard,Trade of the Day,Dashboard section,Agreed-Spec,P0,COMPLETED,85,,Rendered,Maintain,dashboard/server.py,/api/tod,,,,,2026-09-24,
48,0,Delivered baseline (maintain),DB-15,Dashboard,Orders/signals panel,Orders tab,Code-Derived,P1,COMPLETED,70,,Rendered with PAPER status,Maintain,dashboard/server.py,/api/orders,,,,,2026-09-24,
49,0,Delivered baseline (maintain),DB-19,Dashboard,Hosted read-only snapshot,bkesari viewer,Code-Derived,P1,COMPLETED,80,,publish_snapshot.py,Superseded by ENT-08 web app,publish_snapshot.py,—,,,,,2026-09-24,
50,0,Delivered baseline (maintain),API-01,APIs,Internal REST,Dashboard API,Agreed-Spec,P1,COMPLETED,70,,15 FastAPI routes,Maintain,dashboard/server.py,—,,,,,2026-09-24,
51,0,Delivered baseline (maintain),API-02,APIs,Local API authentication,Auth on mutating routes,Agreed-Spec,P0,COMPLETED,80,,127.0.0.1 bind + X-ATIP-Token,Replaced by per-user auth in SEC-02,dashboard/security.py,7191c71,,,,,2026-09-24,
52,0,Delivered baseline (maintain),DBS-01,Database,Schema,Operational schema,Agreed-Spec,P1,COMPLETED,75,,19 SQLite tables,Migrations via DBS-04,db/schema.py,—,,,,,2026-09-24,
53,0,Delivered baseline (maintain),DBS-02,Database,Retention/purge,Data retention,Code-Derived,P2,COMPLETED,70,,db/purge.py,Maintain,db/purge.py,—,,,,,2026-09-24,
54,0,Delivered baseline (maintain),SEC-01,Security,Credential handling,Secrets outside code,Agreed-Spec,P0,COMPLETED,70,,config.json outside repo,Vault in ENT-06,atip_data/config.json,—,,,,,2026-09-24,
55,0,Delivered baseline (maintain),MON-07,Monitoring,Feed health,WebSocket stall detection,Code-Derived,P1,COMPLETED,70,,Implemented,Maintain,data/dhan_ws.py,b303d7a,,,,,2026-09-24,
56,0,Delivered baseline (maintain),MON-08,Monitoring,Diagnostics,Diagnostic tool,Code-Derived,P2,COMPLETED,65,,diagnose.py,Maintain,diagnose.py,—,,,,,2026-09-24,
57,0,Delivered baseline (maintain),OPS-01,Deployment/Ops,Autostart/scheduling,Windows autostart,Code-Derived,P1,COMPLETED,75,,Task Scheduler + VBS,Replaced by cloud deploy in OPS-04,start_atip.bat; ATIP_TaskScheduler.xml,—,,,,,2026-09-24,
58,0,Delivered baseline (maintain),OPS-07,Deployment/Ops,Snapshot publishing,Hosted read-only view,Code-Derived,P2,COMPLETED,80,,Implemented,Maintain,publish_snapshot.py,—,,,,,2026-09-24,
59,1,Foundation,DP-09,Data Platform,India VIX,Real VIX series as MH/MSI/CRI input,Agreed-Spec,P0,COMPLETED,95,,Daily INDIAVIX series in prices_daily (421 sessions 2025-01-13..; Dhan history + NSE close nightly); get_vix() = session feed then daily series; no 15.0 default,None for DP-09; VIX term structure/percentile features belong to later factor work,scores/engine.py; data/dhan.py; data/bhavcopy.py; pipeline/scheduler.py; main.py,get_vix() returns a value for 411/411 sessions; 17/17 scored sessions unchanged; 4 new tests; 376 tests pass,,,2026-09-24,2026-09-24,2026-09-24,Also fixed: history sync stored every index_key as NIFTY50. Backup atip.db.bak-before-vix-series-20260924-0828
60,1,Foundation,DP-17,Data Platform,Market breadth,Advance/decline; new highs/lows,Agreed-Spec,P0,COMPLETED,90,DP-02,breadth_series(): advances/declines; % advancing; A/D ratio; % above 200-DMA; 52-week new highs/lows over tracked universe; 80% coverage gate; stored in market_health,Survivorship-free universe (BT-15); sector-level breadth (DP-13),scores/engine.py; db/schema.py,% above 200-DMA from 2025-11-17; highs/lows from 2026-01-16; 2025-04-07 crash reads 14 adv / 461 dec,,,2026-09-24,2026-09-24,2026-09-24,Replaced adv_decline (NULL in every row) that scored Breadth and AdvanceDecline as a constant 25.93
61,1,Foundation,SC-09,Alpha/Factor Engine,Market Health score,MH formula + regime label,Agreed-Spec,P0,COMPLETED,90,DP-09; DP-17,Every MH input is real or left out (index_levels then daily index series; session-own FII/DII; global <=4 days; VIX; breadth); coverage + inputs stored; no score below 50% coverage; upsert keeps portfolio_health; 393 past sessions backfilled,FII/DII and global history only from 2026-07 (backfilled coverage avg 0.65); determine_signal still defaults a missing MH to 50; model-based regime is ML-05,scores/engine.py; data/dhan.py; data/bhavcopy.py; pipeline/scheduler.py; main.py,market_health 411 sessions (394 backfilled); 17 live rows untouched; re-score would move 2 of 17 regimes NEUTRAL->BULL,,,2026-09-24,2026-09-24,2026-09-24,New daily series NIFTYBANK/NIFTYMIDCAP150/NIFTYSMLCAP250 (421 sessions each; match feed on 17/17). Backup atip.db.bak-before-breadth-mh-20260924-0852
62,1,Foundation,SC-08,Alpha/Factor Engine,ACS,AI Confidence Score,Agreed-Spec,P0,COMPLETED,85,SC-09,HistoricalAccuracy = 90-day 5-session hit rate from outcomes known by the scored day (min 5); NewsConfidence only from AI-classified news with no look-ahead; missing inputs left out (no 50/60 stand-ins),NewsConfidence stays absent until NS-02 (Anthropic key) classifies news,scores/engine.py; data/news.py; db/schema.py,09-23 re-score on a copy: signals unchanged; ACS mean 56.36->57.50; ACS>=60 169->191,,,2026-09-24,2026-09-24,2026-09-24,"news_articles.classifier added; 1,249 existing rows marked rule"
63,1,Foundation,MON-01,Monitoring,Job logging,Accurate pipeline_log,Code-Derived,P0,IN PROGRESS,50,,Swallows exceptions; no end time; SUCCESS with 0 rows,"Record failures, end time, row counts",pipeline/scheduler.py,Phase status Tier 2,,,,,2026-09-24,
64,1,Foundation,MON-02,Monitoring,Stalled-job detection,Heartbeat per job,Code-Derived,P0,YET TO START,5,MON-01,None,Expected-run table + missed-run check,pipeline/scheduler.py,news job silent 11 days,,,,,2026-09-24,
65,1,Foundation,MON-03,Monitoring,Failure alerting,Alerts on failure,Agreed-Spec,P0,IN PROGRESS,30,MON-02,Telegram path exists; unconfigured,Configure Telegram; alert on failure/stall,alerts/telegram.py,run_job,,,,,2026-09-24,
66,1,Foundation,DB-14,Dashboard,Alerts / morning brief,Telegram + 08:30 digest,Agreed-Spec,P1,IN PROGRESS,50,MON-03,Digest scheduled; channel unconfigured,Deliver digest; verify daily,alerts/telegram.py,scheduler.py:1032,,,,,2026-09-24,
67,1,Foundation,RK-15,Risk Management,Risk alerts,Alerts on risk events,Agreed-Spec,P1,IN PROGRESS,40,MON-03,CRI alerts coded; channel unconfigured,"Alert on halt, limit breach, CRI spike",alerts/telegram.py,—,,,,,2026-09-24,
68,1,Foundation,MON-06,Monitoring,Log rotation,Rotating logs,Code-Derived,P1,YET TO START,0,,None,RotatingFileHandler,main.py,Phase status Tier 2,,,,,2026-09-24,
69,1,Foundation,DBS-06,Database,Timestamp consistency,One timezone convention,Code-Derived,P1,IN PROGRESS,30,,IST and UTC mixed in same rows,Normalise; fix news recency,db/schema.py; data/news.py,Phase status Tier 2,,,,,2026-09-24,
70,1,Foundation,NS-01,News/Sentiment,News ingestion,Reliable daily news feed,Agreed-Spec,P0,IN PROGRESS,50,MON-02,"~1,249 rows; job stalled as of 09-21",Fix job; add second source; health check,data/news.py,Phase status Tier 2,,,,,2026-09-24,
71,1,Foundation,OPS-03,Deployment/Ops,Install/setup,Reproducible install,Code-Derived,P1,IN PROGRESS,50,,setup.py lists pandas-ta; omits ta,Fix requirements/setup; pin versions,setup.py; requirements.txt,Phase status Tier 3,,,,,2026-09-24,
72,1,Foundation,EX-01,Execution,Order management tests,Tested order rule engine,Agreed-Spec,P0,COMPLETED,70,,orders/rules.py (944 lines) without tests,Unit tests for rules.py,orders/rules.py; tests/,Phase status Phase 11,,,,,2026-09-24,
73,1,Foundation,OPS-02,Deployment/Ops,CI + end-to-end test,Data->score->signal->order->P&L test,Code-Derived,P0,COMPLETED,70,EX-01,GitHub Actions; ~270 test functions; no E2E,Add E2E pipeline test,.github/workflows/tests.yml; tests/,—,,,,,2026-09-24,
74,1,Foundation,DP-15,Data Platform,Fundamentals,ROE; ROCE; EPS; PEG; FCF; D/E,Agreed-Spec,P0,IN PROGRESS,30,,Screener.in fetcher; ingestion disabled,Your decision; enable; quarterly store; no 50.0 default,data/fundamentals.py; pipeline/scheduler.py,FUNDAMENTALS_ENABLED=False,,,,,2026-09-24,
75,1,Foundation,SC-13,Alpha/Factor Engine,Fundamental Score,FS formula per concept document,Agreed-Spec,P0,IN PROGRESS,20,DP-15,Default 50 when unparsed,Implement FS formula on real data,data/fundamentals.py,—,,,,,2026-09-24,
76,1,Foundation,SC-02,Alpha/Factor Engine,SPI,Stability Profit Index per QRH,Agreed-Spec,P0,IN PROGRESS,30,SC-13,= fundamental_score (double-weighted),Implement SPI formula separately from FS,scores/engine.py,engine.py:503,,,,,2026-09-24,
77,1,Foundation,SC-05,Alpha/Factor Engine,CRI debt input,CRI per QRH incl. Debt,Agreed-Spec,P1,COMPLETED,75,DP-15,Implemented; Debt input missing,Feed Debt/Equity,scores/engine.py,engine.py:276,,,,,2026-09-24,
78,1,Foundation,SC-01,Alpha/Factor Engine,VPI inputs,VPI per QRH,Agreed-Spec,P1,COMPLETED,80,DP-15,Implemented; FG/IS inputs weak,Real Fundamental Growth input,scores/engine.py,engine.py:222,,,,,2026-09-24,
79,1,Foundation,PF-01,Portfolio,Portfolio ingestion,Zerodha/Dhan holdings sync,Agreed-Spec,P0,IN PROGRESS,60,,Kite holdings sync; Dhan holdings,Scheduled reliable sync + token handling,portfolio/zerodha.py; data/dhan.py,—,,,,,2026-09-24,
80,1,Foundation,BR-04,Broker Integration,Portfolio sync schedule,Real-time/daily sync (FR-BI-002),Agreed-Spec,P0,IN PROGRESS,50,PF-01,Partial,Scheduled sync with alert on failure,pipeline/scheduler.py,—,,,,,2026-09-24,
81,1,Foundation,PF-02,Portfolio,Holdings & P&L,Holdings and P&L,Agreed-Spec,P0,IN PROGRESS,60,PF-01,portfolio_holdings with pnl,Realised + unrealised P&L,portfolio/,zerodha.py:64,,,,,2026-09-24,
82,1,Foundation,PF-13,Portfolio,Daily P&L series,Stored daily P&L (paper + live),Code-Derived,P0,YET TO START,0,PF-02,None; realized_pnl cumulative only,Daily P&L table; EOD job,orders/paper.py,orders/risk.py docstring,,,,,2026-09-24,
83,1,Foundation,RK-13,Risk Management,Risk-based sizing wired to orders,FR-RM-001 position size,Agreed-Spec,P0,IN PROGRESS,25,,position_size_pct computed; not read,Use size in order path,scores/predictions.py; orders/rules.py,predictions.py:84,,,,,2026-09-24,
84,1,Foundation,RK-07,Risk Management,Daily loss limit,Circuit breaker,Quant-Research,P0,YET TO START,0,PF-13,Deliberately absent,Limit on PF-13; auto-halt,orders/risk.py,—,,,,,2026-09-24,
85,1,Foundation,RK-08,Risk Management,Drawdown limit,Drawdown halt,Quant-Research,P0,YET TO START,0,PF-13,None,Peak-to-trough on PF-13; auto-halt,orders/risk.py,—,,,,,2026-09-24,
86,1,Foundation,DBS-03,Database,Backups,Automated backups,Agreed-Spec,P1,IN PROGRESS,40,,Manual pre-repair backups,Nightly integrity-checked backup + retention,db/,atip_data/*.bak,,,,,2026-09-24,
87,1,Foundation,DP-06,Data Platform,Corporate actions open items,Split/bonus/demerger adjustment,Code-Derived,P2,COMPLETED,85,,NSE CA calendar; reconciliation; volume re-base,TVSMOTOR scheme; renamed symbols,data/corporate_actions.py,4416ac7,,,,,2026-09-24,
88,1,Foundation,TA-06,Technical Analysis,Support/Resistance,S/R levels (ZPI/RRI inputs),Agreed-Spec,P1,UNCLEAR,30,,Not verified statically,Confirm what ZPI/RRI use; implement pivot-based S/R,scores/engine.py,—,,,,,2026-09-24,
89,1,Foundation,DP-19,Data Platform,Data quality layer,Validation + DataQualityScore,Quant-Research,P1,IN PROGRESS,35,MON-01,Coverage/identical-bar/OHLC guards; no DQS,DQS table; outlier and timestamp checks,pipeline/scheduler.py,ba31981; 8526a9b,,,,,2026-09-24,
90,2,"Quant Research (data, factors, backtesting)",DBS-04,Database,Schema migrations,Versioned migrations,Code-Derived,P0,IN PROGRESS,20,,CREATE IF NOT EXISTS only,Migration mechanism before new tables,db/schema.py,—,,,,,2026-09-24,
91,2,"Quant Research (data, factors, backtesting)",DP-01,Data Platform,Live market data,Live quotes + index feed (FR-MD-001),Agreed-Spec,P1,IN PROGRESS,60,,Index WebSocket 09:00-15:45 + quote cache; stock tick feed never run,Stock-level live feed in production; failover,data/dhan_ws.py; data/dhan.py,dhan_ws.py session window/backoff,,,,,2026-09-24,
92,2,"Quant Research (data, factors, backtesting)",DP-03,Data Platform,Intraday bars,Stored 1/5/15-min bars,Agreed-Spec,P0,IN PROGRESS,20,DBS-04,Fetched every 30 min; nothing stored,Persist bars; retention policy,data/dhan.py; pipeline/scheduler.py,—,,,,,2026-09-24,
93,2,"Quant Research (data, factors, backtesting)",TA-03,Technical Analysis,VWAP,VWAP (TS weight 0.08),Agreed-Spec,P1,YET TO START,5,DP-03,Weight seeded; never computed,Compute from intraday bars,data/technical.py,schema.py:322,,,,,2026-09-24,
94,2,"Quant Research (data, factors, backtesting)",SC-12,Alpha/Factor Engine,Technical Score VWAP input,TS formula complete,Agreed-Spec,P1,COMPLETED,75,TA-03,Implemented; VWAP weight dead,Include VWAP,data/technical.py,technical.py:307,,,,,2026-09-24,
95,2,"Quant Research (data, factors, backtesting)",TA-04,Technical Analysis,Volume Profile,Volume by price; POC,Agreed-Spec,P1,YET TO START,0,DP-03,None,Implement on intraday bars,data/technical.py,—,,,,,2026-09-24,
96,2,"Quant Research (data, factors, backtesting)",TA-10,Technical Analysis,Multi-timeframe analysis,Daily/weekly/intraday confluence,Agreed-Spec,P2,YET TO START,5,DP-03,Daily only,Resample timeframes,data/technical.py,—,,,,,2026-09-24,
97,2,"Quant Research (data, factors, backtesting)",TA-12,Technical Analysis,Full-history indicator panel,Indicators for every history date,Quant-Research,P0,IN PROGRESS,30,,~15 sessions deep,Backfill 426 sessions,data/technical.py,Phase status Phase 3,,,,,2026-09-24,
98,2,"Quant Research (data, factors, backtesting)",AF-03,Alpha/Factor Engine,Factor panel persistence,"(date, symbol, factor, value)",Quant-Research,P0,IN PROGRESS,30,TA-12,Composites stored; sub-components discarded,Persist sub-factors,scores/engine.py,—,,,,,2026-09-24,
99,2,"Quant Research (data, factors, backtesting)",AF-04,Alpha/Factor Engine,Standalone factor families,Momentum; MR; trend; vol; volume; liquidity,Quant-Research,P0,IN PROGRESS,50,AF-03,Embedded inside composites,Extract as standalone factors,scores/engine.py,—,,,,,2026-09-24,
100,2,"Quant Research (data, factors, backtesting)",AF-02,Alpha/Factor Engine,Normalisation contract,z-score; robust; winsorise; percentile,Quant-Research,P0,IN PROGRESS,15,AF-03,Min-max only,Per-factor normalisation config,scores/engine.py,—,,,,,2026-09-24,
101,2,"Quant Research (data, factors, backtesting)",AF-01,Alpha/Factor Engine,Factor library/registry,ID; formula; lookback; version,Quant-Research,P0,YET TO START,5,AF-03,None,Registry table + API,—,—,,,,,2026-09-24,
102,2,"Quant Research (data, factors, backtesting)",SC-18,Alpha/Factor Engine,Formula registry/versioning,Versioned score formulas,Agreed-Spec,P1,IN PROGRESS,25,AF-01,model_version + weights_hash on signal_log,Formula registry table,scores/signal_log.py,signal_log.py:144,,,,,2026-09-24,
103,2,"Quant Research (data, factors, backtesting)",DBS-07,Database,Research registry tables,Factor/model/experiment tables,Quant-Research,P1,YET TO START,0,DBS-04,None,Create schema,db/schema.py,—,,,,,2026-09-24,
104,2,"Quant Research (data, factors, backtesting)",QR-01,Quant Research,Information coefficient,Rank IC; ICIR; hit-rate of IC,Quant-Research,P0,YET TO START,10,AF-03,Ad hoc only,IC engine vs forward returns,—,—,,,,,2026-09-24,
105,2,"Quant Research (data, factors, backtesting)",QR-02,Quant Research,IC decay / half-life,Decay by horizon,Quant-Research,P1,YET TO START,0,QR-01,None,Implement,—,—,,,,,2026-09-24,
106,2,"Quant Research (data, factors, backtesting)",QR-03,Quant Research,Factor correlation/redundancy,Correlation matrix,Quant-Research,P1,YET TO START,0,AF-03,None,Implement,—,—,,,,,2026-09-24,
107,2,"Quant Research (data, factors, backtesting)",QR-04,Quant Research,Statistical toolkit,Correlation; covariance; regression,Quant-Research,P1,YET TO START,5,AF-03,Univariate beta only,Stats module,—,technical.py:99,,,,,2026-09-24,
108,2,"Quant Research (data, factors, backtesting)",AF-08,Alpha/Factor Engine,Factor approval gate,Validation before production,Quant-Research,P1,YET TO START,0,QR-01; QR-03,Factor enters via seed code,Gate workflow + approval record,—,—,,,,,2026-09-24,
109,2,"Quant Research (data, factors, backtesting)",BT-16,Backtesting,Dated equity curve / run records,Run registry with dated equity,Quant-Research,P0,YET TO START,5,,None,Dated trades + equity curve + run table,strategy/; scores/backtest.py,—,,,,,2026-09-24,
110,2,"Quant Research (data, factors, backtesting)",BT-08,Backtesting,Portfolio-level backtest,Shared capital; sizing,Quant-Research,P0,YET TO START,5,BT-16,Independent per-trade notional,Portfolio simulator,—,backtest_history.py:139,,,,,2026-09-24,
111,2,"Quant Research (data, factors, backtesting)",BT-09,Backtesting,Drawdown analysis,Max DD on dated equity,Agreed-Spec,P0,IN PROGRESS,30,BT-16,DD in trade order (wrong),Compute on equity curve,strategy/,backtest_aggressive.py:206,,,,,2026-09-24,
